,Carter,,KalkerL,,KalkerS,,Shen,,Polanch,
,Media,Dispercion,Media,Dispercion,Media,Dispercion,Media,Dispercion,Media,Dispercion
39,"8,18E-005","3,61832869578345E-006","1,20E-001","0,000247138","4,24E+001","0,1161424786","1,21E-001","0,0001188208","1,19E-001","0,0001583127"
40,"8,22E-005","1,37673970751065E-006","1,23E-001","0,0002088624","4,35E+001","0,1435509248","1,25E-001","0,0001793135","1,23E-001","0,0001650502"
41,"8,33E-005","1,55429897432391E-006","1,26E-001","0,0002374157","4,46E+001","0,1351771017","1,28E-001","0,0002900226","1,26E-001","0,0002348629"
42,"8,63E-005","2,89830883801944E-006","1,30E-001","0,0002429217","4,57E+001","0,1256573013","1,31E-001","0,0001809678","1,29E-001","0,0001424254"
43,"8,82E-005","0,00000273","1,33E-001","0,0001578646","4,69E+001","0,1499258757","1,34E-001","0,000215084","1,32E-001","0,0001128716"
44,"8,82E-005","1,4280810726346E-006","1,36E-001","0,0002818863","4,80E+001","0,0762941823","1,37E-001","0,0002452974","1,35E-001","8,94811604975831E-005"
45,"9,01E-005","1,04862021637253E-006","1,39E-001","0,0002110082","4,91E+001","0,1598055564","1,40E-001","0,0001829399","1,38E-001","0,0001817248"
46,"9,33E-005","2,72581482104902E-006","1,42E-001","0,0002231074","5,02E+001","0,1074337518","1,44E-001","0,0002412084","1,42E-001","0,0001723536"
47,"9,47E-005","1,87208775690145E-006","1,45E-001","0,0002683424","5,13E+001","0,1179284242","1,47E-001","0,0002555965","1,48E-001","0,0109051856"
48,"9,69E-005","0,000001538","1,49E-001","0,0005204836","5,25E+001","0,1572158181","1,50E-001","0,0002985017","1,48E-001","0,0006464707"
49,"9,75E-005","2,50812114684726E-006","1,52E-001","0,0005556143","5,35E+001","0,1283182672","1,53E-001","0,000312171","1,51E-001","0,0006313398"
50,"9,83E-005","6,43681104383983E-007","1,55E-001","0,0005358419","5,47E+001","0,0869626741","1,56E-001","0,0003676653","1,54E-001","0,0005686814"
