,Carter,,KalkerL,,KalkerS,,Shen,,Polanch,
,Media,Dispercion,Media,Dispercion,Media,Dispercion,Media,Dispercion,Media,Dispercion
41,"0,0026134909","4,54557745612838E-005","0,2688171678","0,000408366","90,4101666987","1,0475609211","0,271484893","0,0006267166","0,2682349485","0,0005027289"
42,"0,0026908922","5,02534154947191E-005","0,2754193983","0,0010398652","92,6333604803","1,0324645108","0,2779089046","0,000937407","0,274998294","0,0006479255"
43,"0,0027453987","4,04238419897987E-005","0,28237354","0,0007943975","94,9650674097","1,0595438184","0,2849725002","0,0008233098","0,2815397882","0,000584412"
44,"0,0028268069","2,43710881176938E-005","0,289043886","0,0010134201","97,0607891376","1,0120413692","0,2912716779","0,0006508605","0,2880055033","0,0004402754"
45,"0,0029101917","5,49746647367921E-005","0,295828162","0,0006305446","99,4971827136","1,0575561817","0,2977437208","0,0006644573","0,2943775262","0,0006959868"
46,"0,0029527675","5,6090118120865E-005","0,3017563376","0,0007565882","101,5158682113","1,3194243474","0,3045840392","0,000754715","0,3011600387","0,0004165041"
47,"0,0030506144","6,41295653436154E-005","0,3086517899","0,0008495298","104,0299879121","0,5825144918","0,3114609156","0,0006180516","0,3076170842","0,0004524372"
48,"0,0030934788","7,6318134460806E-005","0,3149421151","0,0006810485","106,3230136718","0,4838276752","0,3174839611","0,0005511035","0,3142514902","0,0005016175"
49,"0,0031134886","4,45246995444607E-005","0,3210413077","0,0007312981","108,4152629124","0,5411297689","0,3241284904","0,0005738597","0,3203169977","0,0002334653"
50,"0,0031985797","0,00008684","0,3281027065","0,0006818581","110,7376284212","0,4581082054","0,3306020715","0,0006070142","0,3275624244","0,0004624903"
